Token	freq	prob
stated	1	7.136230642974381e-05
littered	1	7.136230642974381e-05
rotten	1	7.136230642974381e-05
comic	1	7.136230642974381e-05
books	10	0.0007136230642974381
fruit	4	0.00028544922571897526
mattress	3	0.00021408691928923143
quart	2	0.00014272461285948763
jars	3	0.00021408691928923143
spilling	1	7.136230642974381e-05
drop	5	0.00035681153214871903
caps	1	7.136230642974381e-05
ready	3	0.00021408691928923143
drinking	6	0.00042817383857846286
supposed	5	0.00035681153214871903
quarts	1	7.136230642974381e-05
mere	1	7.136230642974381e-05
shadow	4	0.00028544922571897526
desired	1	7.136230642974381e-05
potency	1	7.136230642974381e-05
add	3	0.00021408691928923143
cup	7	0.0004995361450082067
sugar	6	0.00042817383857846286
created	2	0.00014272461285948763
reality	2	0.00014272461285948763
able	1	7.136230642974381e-05
illuminate	1	7.136230642974381e-05
method	2	0.00014272461285948763
walnut	3	0.00021408691928923143
catsup	3	0.00021408691928923143
small	22	0.0015699707414543638
cookbook	1	7.136230642974381e-05
rich	6	0.00042817383857846286
gourmet	1	7.136230642974381e-05
maria	5	0.00035681153214871903
callas	5	0.00035681153214871903
girlfriend	4	0.00028544922571897526
table	8	0.0005708984514379505
candles	3	0.00021408691928923143
compote	1	7.136230642974381e-05
apples	5	0.00035681153214871903
dozen	10	0.0007136230642974381
golden	2	0.00014272461285948763
pippins	3	0.00021408691928923143
pare	1	7.136230642974381e-05
nicely	1	7.136230642974381e-05
core	2	0.00014272461285948763
penknife	1	7.136230642974381e-05
scalded	1	7.136230642974381e-05
sliced	1	7.136230642974381e-05
boil	3	0.00021408691928923143
till	4	0.00028544922571897526
pour	1	7.136230642974381e-05
garnish	1	7.136230642974381e-05
dried	1	7.136230642974381e-05
cherries	7	0.0004995361450082067
lemon	2	0.00014272461285948763
peel	1	7.136230642974381e-05
cut	13	0.0009277099835866696
fine	10	0.0007136230642974381
split	3	0.00021408691928923143
sang	5	0.00035681153214871903
standing	10	0.0007136230642974381
crust	2	0.00014272461285948763
great	21	0.00149860843502462
pies	1	7.136230642974381e-05
peck	1	7.136230642974381e-05
flour	5	0.00035681153214871903
pounds	5	0.00035681153214871903
boiled	2	0.00014272461285948763
skim	1	7.136230642974381e-05
liquor	1	7.136230642974381e-05
paste	2	0.00014272461285948763
pull	1	7.136230642974381e-05
pieces	4	0.00028544922571897526
form	4	0.00028544922571897526
smiled	5	0.00035681153214871903
pie	4	0.00028544922571897526
spoonful	3	0.00021408691928923143
pudding	5	0.00035681153214871903
cream	8	0.0005708984514379505
milk	7	0.0004995361450082067
egg	6	0.00042817383857846286
nutmeg	1	7.136230642974381e-05
ginger	2	0.00014272461285948763
salt	19	0.0013558838221651324
mix	1	7.136230642974381e-05
dish	3	0.00021408691928923143
hour	13	0.0009277099835866696
think	26	0.0018554199671733391
proper	3	0.00021408691928923143
currants	1	7.136230642974381e-05
moon	3	0.00021408691928923143
coming	14	0.0009990722900164134
yes	11	0.0007849853707271819
walnuts	1	7.136230642974381e-05
shell	1	7.136230642974381e-05
formed	3	0.00021408691928923143
grind	1	7.136230642974381e-05
crab	1	7.136230642974381e-05
mill	5	0.00035681153214871903
mortar	3	0.00021408691928923143
squeeze	1	7.136230642974381e-05
juice	2	0.00014272461285948763
coarse	1	7.136230642974381e-05
cloth	1	7.136230642974381e-05
anchovies	1	7.136230642974381e-05
quantity	2	0.00014272461285948763
bay	5	0.00035681153214871903
ounces	1	7.136230642974381e-05
jamaica	1	7.136230642974381e-05
pepper	2	0.00014272461285948763
black	8	0.0005708984514379505
mace	1	7.136230642974381e-05
cloves	1	7.136230642974381e-05
ounce	1	7.136230642974381e-05
horseradish	1	7.136230642974381e-05
reduced	1	7.136230642974381e-05
pot	1	7.136230642974381e-05
bottle	15	0.001070434596446157
months	8	0.0005708984514379505
fit	1	7.136230642974381e-05
hamburgers	1	7.136230642974381e-05
prologue	1	7.136230642974381e-05
grider	4	0.00028544922571897526
mooresville	3	0.00021408691928923143
indiana	3	0.00021408691928923143
john	16	0.001141796902875901
dillinger	10	0.0007136230642974381
museum	2	0.00014272461285948763
towns	2	0.00014272461285948763
known	3	0.00021408691928923143
peach	3	0.00021408691928923143
capital	6	0.00042817383857846286
cherry	2	0.00014272461285948763
oyster	1	7.136230642974381e-05
festival	2	0.00014272461285948763
pretty	6	0.00042817383857846286
girl	25	0.0017840576607435952
bathing	1	7.136230642974381e-05
suit	3	0.00021408691928923143
recently	2	0.00014272461285948763
man	35	0.0024976807250410332
moved	7	0.0004995361450082067
wife	9	0.0006422607578676942
discovered	8	0.0005708984514379505
hundreds	10	0.0007136230642974381
rats	4	0.00028544922571897526
basement	5	0.00035681153214871903
slowmoving	1	7.136230642974381e-05
eyed	1	7.136230642974381e-05
visit	1	7.136230642974381e-05
relatives	4	0.00028544922571897526
days	16	0.001141796902875901
bought	16	0.001141796902875901
revolver	2	0.00014272461285948763
lot	22	0.0015699707414543638
ammunition	1	7.136230642974381e-05
started	13	0.0009277099835866696
shooting	1	7.136230642974381e-05
acted	2	0.00014272461285948763
movie	10	0.0007136230642974381
companions	1	7.136230642974381e-05
popcorn	1	7.136230642974381e-05
rat	4	0.00028544922571897526
busy	2	0.00014272461285948763
placed	3	0.00021408691928923143
pistol	4	0.00028544922571897526
continued	3	0.00021408691928923143
hammer	1	7.136230642974381e-05
clicked	2	0.00014272461285948763
paused	1	7.136230642974381e-05
bites	1	7.136230642974381e-05
eye	6	0.00042817383857846286
kind	17	0.0012131592093056448
friendly	5	0.00035681153214871903
young	20	0.0014272461285948761
deanna	11	0.0007849853707271819
durbin	10	0.0007136230642974381
pulled	8	0.0005708984514379505
trigger	2	0.00014272461285948763
sense	4	0.00028544922571897526
humor	1	7.136230642974381e-05
single	6	0.00042817383857846286
feature	3	0.00021408691928923143
double	2	0.00014272461285948763
eternal	2	0.00014272461285948763
playing	4	0.00028544922571897526
theater	4	0.00028544922571897526
running	14	0.0009990722900164134
creeks	2	0.00014272461285948763
muddy	2	0.00014272461285948763
melting	1	7.136230642974381e-05
mountains	14	0.0009990722900164134
eastern	3	0.00021408691928923143
brook	3	0.00021408691928923143
high	15	0.001070434596446157
living	11	0.0007849853707271819
wakes	1	7.136230642974381e-05
beaver	2	0.00014272461285948763
darns	2	0.00014272461285948763
drove	16	0.001141796902875901
school	13	0.0009277099835866696
bus	7	0.0004995361450082067
drew	2	0.00014272461285948763
map	3	0.00021408691928923143
showing	3	0.00021408691928923143
lodge	1	7.136230642974381e-05
degrees	1	7.136230642974381e-05
nice	10	0.0007136230642974381
drawn	4	0.00028544922571897526
dull	1	7.136230642974381e-05
pencil	3	0.00021408691928923143
paper	6	0.00042817383857846286
bag	7	0.0004995361450082067
sawmill	1	7.136230642974381e-05
ballet	4	0.00028544922571897526
cobra	5	0.00035681153214871903
lily	5	0.00035681153214871903
traps	1	7.136230642974381e-05
insects	5	0.00035681153214871903
university	4	0.00028544922571897526
california	10	0.0007136230642974381
los	4	0.00028544922571897526
angeles	3	0.00021408691928923143
plant	5	0.00035681153214871903
porch	5	0.00035681153214871903
died	11	0.0007849853707271819
woolworth	1	7.136230642974381e-05
ago	10	0.0007136230642974381
presidential	1	7.136230642974381e-05
election	1	7.136230642974381e-05
nineteen	1	7.136230642974381e-05
buried	2	0.00014272461285948763
metrecal	2	0.00014272461285948763
says	6	0.00042817383857846286
dietary	1	7.136230642974381e-05
weight	3	0.00021408691928923143
control	1	7.136230642974381e-05
reads	1	7.136230642974381e-05
ingredients	1	7.136230642974381e-05
non	1	7.136230642974381e-05
solids	2	0.00014272461285948763
soya	1	7.136230642974381e-05
sucrose	1	7.136230642974381e-05
starch	1	7.136230642974381e-05
corn	1	7.136230642974381e-05
oil	3	0.00021408691928923143
coconut	1	7.136230642974381e-05
yeast	1	7.136230642974381e-05
imitation	1	7.136230642974381e-05
vanilla	4	0.00028544922571897526
graveyard	7	0.0004995361450082067
dry	12	0.0008563476771569257
brown	7	0.0004995361450082067
freckles	2	0.00014272461285948763
blue	7	0.0004995361450082067
button	1	7.136230642974381e-05
sticking	3	0.00021408691928923143
nixon	1	7.136230642974381e-05
main	2	0.00014272461285948763
energy	3	0.00021408691928923143
description	3	0.00021408691928923143
mat	1	7.136230642974381e-05
hell	7	0.0004995361450082067
conduct	1	7.136230642974381e-05
orchestra	1	7.136230642974381e-05
mortuaries	1	7.136230642974381e-05
ice	9	0.0006422607578676942
woodwinds	1	7.136230642974381e-05
atomic	1	7.136230642974381e-05
mailman	1	7.136230642974381e-05
pines	3	0.00021408691928923143
shines	1	7.136230642974381e-05
nature	3	0.00021408691928923143
endowed	1	7.136230642974381e-05
means	3	0.00021408691928923143
catching	2	0.00014272461285948763
food	5	0.00035681153214871903
forked	1	7.136230642974381e-05
tongue	1	7.136230642974381e-05
honey	1	7.136230642974381e-05
glands	1	7.136230642974381e-05
attract	1	7.136230642974381e-05
feeds	1	7.136230642974381e-05
hood	1	7.136230642974381e-05
pointing	2	0.00014272461285948763
hairs	1	7.136230642974381e-05
prevent	1	7.136230642974381e-05
insect	4	0.00028544922571897526
crawling	2	0.00014272461285948763
digestive	1	7.136230642974381e-05
liquids	1	7.136230642974381e-05
found	11	0.0007849853707271819
supposition	1	7.136230642974381e-05
necessary	2	0.00014272461285948763
feed	3	0.00021408691928923143
hamburger	3	0.00021408691928923143
daily	1	7.136230642974381e-05
erroneous	1	7.136230642974381e-05
hope	4	0.00028544922571897526
dancers	1	7.136230642974381e-05
job	4	0.00028544922571897526
feet	22	0.0015699707414543638
dancing	1	7.136230642974381e-05
angles	1	7.136230642974381e-05
walden	1	7.136230642974381e-05
pond	4	0.00028544922571897526
winos	2	0.00014272461285948763
autumn	10	0.0007136230642974381
carried	12	0.0008563476771569257
roller	1	7.136230642974381e-05
coaster	1	7.136230642974381e-05
flesh	2	0.00014272461285948763
port	13	0.0009277099835866696
wine	24	0.0017126953543138515
drank	7	0.0004995361450082067
sweet	8	0.0005708984514379505
wary	1	7.136230642974381e-05
police	6	0.00042817383857846286
safest	1	7.136230642974381e-05
pregnant	1	7.136230642974381e-05
telephone	19	0.0013558838221651324
finished	3	0.00021408691928923143
wo	8	0.0005708984514379505
drink	15	0.001070434596446157
friends	3	0.00021408691928923143
talking	7	0.0004995361450082067
broken	2	0.00014272461285948763
artists	2	0.00014272461285948763
new	32	0.002283593805751802
orleans	3	0.00021408691928923143
pictures	6	0.00042817383857846286
tourists	1	7.136230642974381e-05
pirate	1	7.136230642974381e-05
alley	3	0.00021408691928923143
decided	10	0.0007136230642974381
future	4	0.00028544922571897526
held	4	0.00028544922571897526
flea	3	0.00021408691928923143
circus	2	0.00014272461285948763
commit	1	7.136230642974381e-05
insane	5	0.00035681153214871903
asylum	4	0.00028544922571897526
talked	13	0.0009277099835866696
fleas	6	0.00042817383857846286
pasting	2	0.00014272461285948763
backs	11	0.0007849853707271819
trained	2	0.00014272461285948763
dependent	1	7.136230642974381e-05
letting	4	0.00028544922571897526
appointed	1	7.136230642974381e-05
wheelbarrows	1	7.136230642974381e-05
pool	12	0.0008563476771569257
tables	1	7.136230642974381e-05
bicycles	1	7.136230642974381e-05
charge	2	0.00014272461285948763
admission	1	7.136230642974381e-05
business	5	0.00035681153214871903
certain	3	0.00021408691928923143
ed	4	0.00028544922571897526
sullivan	2	0.00014272461285948763
course	14	0.0009990722900164134
easily	2	0.00014272461285948763
obtained	1	7.136230642974381e-05
cat	20	0.0014272461285948761
lived	7	0.0004995361450082067
siamese	1	7.136230642974381e-05
cats	4	0.00028544922571897526
ordinary	1	7.136230642974381e-05
blood	3	0.00021408691928923143
exhausted	1	7.136230642974381e-05
fifth	2	0.00014272461285948763
